#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-19T16:49:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61e8406795e9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/table1}&key:source=J/A+A/640/A1/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/640/A1/table1
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=nbstars07
#-out=pmRA*
#-out=pmDE
#-out=plx
#-out=AgeNN
#-out=AVNN
#-out=DMNN
#-out=DistPc
#

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_table1:
#Name: J/A+A/640/A1/table1
#Title: Mean cluster parameters
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	RA_ICRS	(F7.3)	[] Mean right ascension of members (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of members (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	nbstars07	(I4)	Number of members with proba over 0.7	[ucd=meta.number]
#Column	pmRA*	(F7.3)	Mean proper motion along RA of members, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F6.3)	Mean parallax of members	[ucd=pos.parallax.trig]
#Column	AgeNN	(F5.2)	? Age (logt) of the cluster	[ucd=time.age]
#Column	AVNN	(F5.2)	? Extinction Av of the cluster	[ucd=phys.absorption]
#Column	DMNN	(F5.2)	? Distance modulus of the cluster	[ucd=phot.mag.distMod]
#Column	DistPc	(F6)	? Distance in parsecs (converted distance modulus)	[ucd=pos.distance;pos.heliocentric]
Cluster	RA_ICRS	DE_ICRS	nbstars07	pmRA*	pmDE	plx	AgeNN	AVNN	DMNN	DistPc
Blanco_1         	000.853	-29.958	 380	 18.739	  2.602	 4.210	 8.02	 0.01	 6.90	   240
Bochum_11        	161.769	-60.096	  61	 -6.335	  1.742	 0.389	 6.80	 1.27	12.06	  2584
Bochum_13        	259.333	-35.529	  57	 -0.286	 -1.284	 0.567	 6.95	 2.63	11.11	  1666
Bochum_3         	105.860	-05.021	  17	 -1.174	 -0.190	 0.448	 8.06	 0.69	11.75	  2238
Bochum_4         	112.877	-17.229	  21	 -3.014	  1.848	 0.761	 7.98	 0.39	10.55	  1285
Bochum_6         	112.992	-19.416	  75	 -2.280	  2.308	 0.249	 6.81	 1.59	12.97	  3931
COIN-Gaia_1      	011.933	+66.769	  78	 -5.034	 -3.048	 1.546	 8.26	 1.13	 9.09	   658
COIN-Gaia_10     	068.385	+40.509	  28	  2.025	 -3.355	 0.943	 7.74	 0.95	10.04	  1018
COIN-Gaia_11     	068.110	+39.479	  75	  3.574	 -5.620	 1.485	 8.90	 1.25	 9.13	   669
COIN-Gaia_12     	079.209	+41.708	  67	  2.616	 -4.681	 1.030	 8.73	 0.16	 9.90	   954
COIN-Gaia_13     	083.186	+42.087	 130	 -3.828	 -1.676	 1.927	 8.27	 0.37	 8.68	   545
COIN-Gaia_14     	077.696	+39.195	  19	  1.331	 -6.598	 1.043	 8.63	 0.62	 9.86	   936
COIN-Gaia_15     	076.090	+35.831	  87	  0.440	 -3.781	 0.824	 8.00	 1.27	10.35	  1174
COIN-Gaia_16     	080.179	+37.438	  25	  1.262	 -3.749	 0.622	 7.41	 0.57	10.93	  1531
COIN-Gaia_17     	081.244	+37.558	  67	  0.358	 -4.297	 0.885	 8.60	 0.75	10.17	  1082
COIN-Gaia_18     	078.408	+35.498	  39	  0.767	 -4.955	 0.953	 8.25	 0.85	10.06	  1027
COIN-Gaia_19     	082.188	+34.290	  77	 -1.477	 -4.641	 0.774	 8.03	 0.73	10.47	  1241
COIN-Gaia_2      	015.060	+55.409	 115	 -4.457	 -1.933	 0.787	 8.82	 0.46	10.40	  1204
COIN-Gaia_20     	078.634	+31.691	  36	  0.548	 -1.455	 0.911	 7.93	 0.63	10.09	  1044
COIN-Gaia_21     	084.766	+28.402	  26	 -0.115	 -3.849	 0.697	 7.45	 1.09	10.74	  1406
COIN-Gaia_22     	091.060	+31.602	  83	 -0.708	 -3.309	 0.490	 8.48	 0.82	11.49	  1987
COIN-Gaia_23     	087.449	+27.008	  91	 -0.318	 -0.928	 1.032	 8.11	 0.54	 9.86	   937
COIN-Gaia_24     	090.693	+23.203	  47	  2.536	 -2.954	 0.965	 7.92	 0.67	10.06	  1030
COIN-Gaia_25     	091.691	+20.276	  83	 -0.499	 -2.595	 1.201	 8.75	 0.38	 9.58	   824
COIN-Gaia_26     	083.771	+15.721	  62	  0.267	 -2.376	 0.688	 8.23	 1.32	10.80	  1442
COIN-Gaia_27     	085.760	+13.743	  57	  0.697	 -3.594	 0.912	 8.86	 1.18	10.35	  1173
COIN-Gaia_28     	096.333	+11.159	  90	 -1.120	 -0.942	 0.590	 7.74	 0.75	11.02	  1600
COIN-Gaia_29     	015.548	+63.648	  11	 -2.654	 -0.317	 0.313	     	     	     	
COIN-Gaia_3      	018.739	+60.505	  85	 -2.431	 -1.791	 0.775	 7.69	 1.69	10.41	  1209
COIN-Gaia_30     	021.080	+70.574	  90	 -6.145	  2.067	 1.346	 8.41	 1.25	 9.42	   767
COIN-Gaia_31     	021.307	+61.135	  18	 -1.983	 -0.526	 0.381	     	     	     	
COIN-Gaia_32     	028.194	+63.066	  17	  0.053	 -2.195	 0.775	 8.56	 0.82	10.48	  1248
COIN-Gaia_33     	030.276	+61.475	  14	 -1.307	 -0.071	 0.123	     	     	     	
COIN-Gaia_34     	031.231	+61.776	  34	 -2.231	  0.866	 1.006	 8.34	 1.19	10.05	  1022
COIN-Gaia_35     	033.472	+60.039	  10	 -0.526	 -0.396	 0.341	     	     	     	
COIN-Gaia_37     	045.377	+58.329	   3	  0.849	 -2.042	 0.976	     	     	     	
COIN-Gaia_38     	051.472	+51.072	  50	  2.032	 -6.785	 0.793	 8.43	 1.56	10.53	  1274
COIN-Gaia_39     	069.612	+42.950	  13	  0.238	 -2.467	 0.991	 8.46	 0.63	10.02	  1010
COIN-Gaia_4      	026.129	+58.756	  42	 -0.948	 -1.000	 0.450	 7.73	 1.65	11.72	  2205
COIN-Gaia_40     	081.874	+33.526	  12	  0.393	 -2.762	 0.470	     	     	     	
COIN-Gaia_41     	089.835	+19.026	  48	 -0.314	 -3.685	 0.520	 8.34	 1.51	11.49	  1988
COIN-Gaia_5      	027.408	+58.078	  21	 -2.774	 -0.511	 1.063	 8.04	 0.45	 9.80	   912
COIN-Gaia_6      	028.101	+58.636	  83	 -2.355	 -0.490	 0.277	 8.68	 1.18	12.57	  3259
COIN-Gaia_7      	033.738	+58.466	  31	 -1.043	 -1.548	 0.648	 7.76	 1.36	10.86	  1485
COIN-Gaia_8      	039.048	+50.013	  28	  2.510	 -2.499	 1.359	 8.00	 0.37	 9.29	   722
COIN-Gaia_9      	047.748	+48.023	  22	 -1.934	 -2.810	 1.119	 8.20	 0.57	 9.68	   864
Collinder_106    	099.278	+06.002	  93	 -1.472	  0.531	 0.635	 7.39	 0.63	10.89	  1505
Collinder_107    	099.203	+04.972	 108	 -1.325	  0.659	 0.617	 7.26	 0.95	11.11	  1666
Collinder_110    	099.677	+02.069	 881	 -1.091	 -2.049	 0.425	 9.26	 1.14	11.70	  2183
Collinder_115    	101.659	+01.776	 180	 -1.245	 -0.567	 0.475	 7.98	 0.76	11.46	  1956
Collinder_132    	108.485	-30.758	  86	 -4.140	  3.732	 1.501	 7.39	 0.00	 8.98	   624
Collinder_135    	109.362	-37.044	 324	 -9.975	  6.157	 3.278	 7.42	 0.01	 7.33	   292
Collinder_140    	110.882	-31.966	 124	 -8.074	  4.789	 2.594	 7.43	 0.00	 7.95	   388
Collinder_185    	125.833	-36.349	  58	 -4.924	  3.879	 0.626	 7.79	 0.61	10.97	  1564
Collinder_197    	131.202	-41.280	 229	 -5.808	  3.933	 1.034	 7.15	 1.42	 9.90	   955
Collinder_205    	135.119	-48.984	  81	 -4.797	  3.918	 0.483	 6.66	 2.30	11.90	  2394
Collinder_220    	156.429	-57.922	 112	 -7.339	  2.677	 0.364	 8.37	 0.72	11.95	  2457
Collinder_258    	186.798	-60.767	 110	 -7.051	 -0.288	 0.764	 7.99	 0.53	10.54	  1284
Collinder_261    	189.519	-68.377	1799	 -6.351	 -2.705	 0.315	 9.80	 0.81	12.27	  2850
Collinder_268    	199.543	-67.079	 128	 -5.480	 -0.405	 0.357	 8.38	 1.16	12.10	  2633
Collinder_269    	200.992	-66.204	  55	 -5.058	 -2.492	 0.568	 8.62	 0.78	11.16	  1702
Collinder_271    	202.453	-64.199	  34	 -5.697	 -1.579	 0.353	 7.79	 1.23	12.09	  2613
Collinder_272    	202.586	-61.319	 255	 -3.441	 -1.798	 0.414	 7.66	 1.29	11.75	  2236
Collinder_277    	207.058	-66.066	 195	 -9.225	 -4.139	 0.576	 8.99	 0.72	11.22	  1752
Collinder_292    	237.410	-57.594	  94	 -2.397	 -2.232	 0.528	 8.41	 0.97	11.25	  1777
Collinder_307    	248.792	-50.990	 116	 -0.715	 -3.339	 0.484	 8.39	 2.11	11.61	  2099
Collinder_338    	264.483	-37.657	  63	  2.546	 -1.854	 1.521	 8.16	 0.45	 9.04	   643
Collinder_350    	267.018	+01.525	 169	 -4.965	 -0.019	 2.708	 8.77	 0.52	 7.85	   371
Collinder_359    	270.598	+03.260	 269	  0.637	 -8.668	 1.786	 7.57	 0.51	 8.69	   546
Collinder_394    	283.092	-20.229	 156	 -1.459	 -5.882	 1.388	 7.96	 0.54	 9.23	   700
Collinder_419    	304.534	+40.732	  48	 -2.708	 -6.382	 0.952	 7.29	 1.17	10.01	  1003
Collinder_421    	305.829	+41.701	 162	 -3.651	 -8.334	 0.813	 8.37	 1.69	10.42	  1214
Collinder_463    	027.031	+71.738	 404	 -1.715	 -0.307	 1.137	 8.06	 0.79	 9.65	   849
Collinder_469    	274.143	-18.309	  24	  0.089	 -1.679	 0.399	 6.98	 1.96	11.92	  2422
Collinder_69     	083.792	+09.813	 620	  1.194	 -2.118	 2.462	 7.10	 0.25	 8.10	   416
Collinder_74     	087.170	+07.374	 107	  1.011	 -1.512	 0.379	 9.28	 0.85	11.99	  2498
Collinder_95     	097.788	+09.894	 136	 -2.263	 -5.159	 1.458	 7.28	 1.52	 9.10	   659
Czernik_1        	001.906	+61.476	  35	 -2.964	 -1.395	 0.310	 7.57	 2.17	12.47	  3124
Czernik_10       	038.483	+60.167	  35	 -1.178	  0.267	 0.239	 8.34	 3.46	13.21	  4387
Czernik_12       	039.853	+54.922	  33	 -0.189	  0.931	 0.482	 9.13	 0.75	11.42	  1919
Czernik_13       	041.106	+62.327	  85	  0.585	 -0.208	 0.293	 8.38	 1.83	12.72	  3500
Czernik_14       	049.262	+58.612	  51	 -0.490	 -0.395	 0.285	 8.62	 3.03	12.51	  3176
Czernik_15       	050.781	+52.223	  13	  0.330	 -1.046	 0.321	 7.77	 2.30	11.88	  2373
Czernik_16       	052.754	+52.612	  45	  0.795	 -2.181	 0.340	 8.51	 2.61	12.20	  2751
Czernik_18       	066.963	+30.936	  45	  1.826	 -2.994	 0.738	 8.72	 1.34	10.61	  1325
Czernik_19       	074.258	+28.763	  79	  1.049	 -2.126	 0.367	 8.31	 1.78	12.06	  2586
Czernik_2        	010.952	+60.197	  77	 -4.060	 -0.905	 0.495	 8.57	 1.41	11.39	  1899
Czernik_20       	080.129	+39.545	  34	  0.619	 -1.583	 0.264	 9.22	 1.49	12.71	  3488
Czernik_21       	081.671	+36.013	 124	  2.244	 -0.907	 0.221	 9.41	 2.05	13.03	  4036
Czernik_23       	087.525	+28.898	  93	  0.080	 -1.794	 0.288	 8.43	 1.49	12.99	  3968
Czernik_24       	088.848	+20.876	  94	  0.222	 -2.629	 0.261	 9.43	 1.63	13.00	  3981
Czernik_25       	093.432	+06.953	  99	 -0.222	  0.252	 0.438	 8.87	 1.01	11.68	  2167
Czernik_26       	097.754	-04.183	  10	  0.142	  0.191	 0.060	 8.72	 0.88	14.25	  7087
Czernik_27       	105.830	+06.382	  45	 -0.505	 -1.395	 0.221	 8.94	 0.44	13.17	  4313
Czernik_29       	112.100	-15.385	 147	 -1.406	  1.354	 0.235	 8.18	 1.09	12.71	  3485
Czernik_3        	015.780	+62.787	  44	 -0.220	 -0.296	 0.195	 8.54	 2.91	13.22	  4415
Czernik_30       	112.796	-09.945	  85	 -0.587	 -0.097	 0.110	 9.46	 0.62	14.11	  6647
Czernik_31       	114.238	-20.515	  71	 -1.946	  3.035	 0.295	 7.47	 1.43	12.65	  3396
Czernik_32       	117.620	-29.853	 162	 -2.962	  2.480	 0.196	 9.05	 2.17	13.08	  4139
Czernik_37       	268.320	-27.373	 196	  0.459	 -0.445	 0.406	 8.58	 3.43	11.82	  2314
Czernik_38       	282.451	+04.965	 168	 -1.840	 -5.005	 0.383	 8.27	 4.25	11.96	  2461
Czernik_39       	286.926	+04.337	  36	 -1.586	 -4.704	 0.253	 8.14	 2.63	12.57	  3265
Czernik_40       	295.661	+21.145	  62	 -2.249	 -4.613	 0.207	 7.40	 3.43	13.32	  4610
Czernik_41       	297.754	+25.290	 181	 -2.932	 -6.164	 0.369	 7.11	 4.11	12.03	  2543
Czernik_42       	339.896	+59.908	  43	 -3.383	 -2.527	 0.182	 7.85	 3.35	13.23	  4422
Czernik_44       	353.415	+61.954	  37	 -2.377	 -0.878	 0.184	 8.14	 2.53	13.22	  4399
Czernik_5        	028.927	+61.355	  52	 -2.020	  0.476	 0.229	 8.13	 3.22	13.09	  4146
Czernik_6        	030.543	+62.838	  20	 -1.129	 -0.127	 0.353	 7.45	 1.00	12.03	  2541
Czernik_8        	038.240	+58.764	  34	  0.480	 -0.721	 0.332	 8.37	 2.51	12.27	  2845
Czernik_9        	038.393	+59.883	  57	 -0.912	  0.272	 0.300	 8.38	 3.01	12.60	  3304
DB2001_22        	310.645	+42.946	  18	 -2.714	 -4.644	 0.268	     	     	     	
DBSB_100         	245.106	-50.902	  42	 -2.940	 -3.622	 0.148	     	     	     	
DBSB_101         	242.631	-49.014	  36	 -1.822	 -2.193	 0.520	 7.05	 3.07	11.36	  1871
DBSB_104         	255.997	-51.088	  20	 -0.443	 -2.692	 0.908	 7.43	 0.88	10.16	  1078
DBSB_21          	130.571	-40.737	  14	 -5.998	  4.440	 0.613	 6.98	 3.26	10.99	  1574
DBSB_3           	107.579	-18.434	  43	 -1.937	  2.696	 0.281	 6.58	 1.57	12.55	  3238
DBSB_43          	150.962	-59.232	  26	 -5.056	  3.142	 0.187	 7.39	 2.33	13.45	  4907
DBSB_6           	112.493	-19.102	  15	 -1.931	  2.442	 0.255	 7.50	 2.34	12.89	  3792
DBSB_60          	166.385	-62.482	  26	 -5.229	  1.874	 0.202	     	     	     	
DBSB_7           	113.855	-18.677	  34	 -1.683	  2.401	 0.351	 8.44	 1.45	12.13	  2667
DC_5             	159.996	-59.192	 125	 -5.356	  2.396	 0.198	     	     	     	
DC_8             	092.335	+31.228	  27	  0.775	 -1.309	 0.223	 8.93	 2.51	13.31	  4591
Danks_1          	198.121	-62.699	  57	 -7.020	 -0.499	 0.159	     	     	     	
Danks_2          	198.222	-62.681	  56	 -7.016	 -0.336	 0.129	     	     	     	
Dias_1           	010.630	+64.056	  49	 -2.752	 -0.523	 0.372	 7.48	 2.35	12.08	  2608
Dias_2           	092.291	+04.573	  44	 -0.772	  1.240	 0.210	 9.24	 0.47	13.02	  4009
Dias_5           	274.385	-19.707	  61	  1.798	 -0.945	 0.744	 6.98	 0.94	10.58	  1303
Dias_6           	277.617	-12.330	 190	  0.482	 -0.591	 0.331	 9.04	 1.85	12.01	  2524
Dolidze_11       	306.682	+41.372	  28	 -1.255	 -4.260	 0.490	     	     	     	
Dolidze_16       	078.623	+32.707	  48	 -0.063	 -2.602	 0.762	 7.22	 0.86	10.62	  1332
Dolidze_3        	303.803	+36.832	  16	 -2.875	 -5.613	 0.496	 6.95	 2.10	11.60	  2086
Dolidze_32       	280.260	-04.054	  17	 -0.705	 -2.027	 0.464	 8.01	 3.00	11.60	  2085
Dolidze_5        	305.025	+39.331	 137	 -1.929	 -5.384	 0.443	 7.80	 2.13	11.51	  2001
Dolidze_53       	296.588	+24.613	  30	 -1.494	 -4.609	 0.478	 6.84	 2.96	11.74	  2228
Dolidze_8        	306.129	+42.300	  39	 -2.633	 -5.910	 0.993	 7.19	 2.22	10.11	  1053
ESO_092_05       	150.801	-64.755	  39	 -2.919	  2.397	 0.061	 9.65	 0.17	15.47	 12444
ESO_092_18       	153.730	-64.611	  54	 -3.551	  2.761	 0.032	 9.46	 0.47	14.98	  9910
ESO_130_06       	181.970	-59.310	  71	-11.266	 -0.866	 1.229	 8.15	 0.27	 9.54	   808
ESO_130_08       	182.619	-59.479	 105	 -5.952	 -0.875	 0.721	 8.25	 0.75	10.64	  1342
ESO_130_13       	185.782	-59.644	 120	 -4.422	 -0.417	 0.386	 7.53	 1.38	11.92	  2420
ESO_134_12       	221.220	-59.158	  51	 -5.182	 -3.122	 0.415	 8.18	 2.53	11.92	  2420
ESO_166_04       	137.602	-53.884	  32	 -5.983	  5.675	 0.866	 8.30	 0.32	10.19	  1090
ESO_211_03       	132.897	-50.253	 121	 -4.681	  4.333	 0.159	 9.11	 2.59	13.63	  5313
ESO_211_09       	139.186	-50.285	  27	 -3.530	  3.120	 0.093	     	     	     	
ESO_226_06       	246.040	-51.151	  19	 -2.181	 -3.308	 0.389	 7.51	 2.63	11.89	  2382
ESO_311_21       	120.415	-41.596	  56	 -2.852	  5.510	 0.160	 9.41	 1.83	13.68	  5445
ESO_312_03       	126.123	-41.287	  50	 -3.780	  4.457	 0.228	 7.94	 2.08	13.15	  4268
ESO_312_04       	126.722	-41.251	  30	 -2.915	  3.917	 0.150	 7.65	 2.06	13.84	  5859
ESO_313_03       	127.907	-41.784	   3	 -3.189	  3.492	 0.163	     	     	     	
ESO_368_11       	116.086	-34.628	 107	 -0.853	  2.278	 0.429	 8.77	 1.11	11.63	  2117
ESO_368_14       	116.751	-32.959	  25	 -1.938	  3.561	 0.222	 7.97	 3.29	13.14	  4254
ESO_371_25       	133.248	-35.476	  50	 -2.429	  1.749	 0.134	 9.31	 1.20	13.83	  5832
ESO_393_15       	265.923	-34.203	   5	  0.748	 -0.489	 0.315	     	     	     	
ESO_518_03       	251.760	-25.810	  91	  2.757	 -2.665	 0.566	 9.15	 0.91	11.06	  1631
ESO_559_13       	112.176	-20.807	  12	 -1.402	  1.721	 0.400	 8.79	 0.87	11.83	  2318
ESO_589_26       	270.560	-21.922	  82	 -0.216	 -2.695	 0.336	 8.30	 3.15	12.13	  2666
FSR_0088         	282.667	-04.158	 176	 -1.589	 -4.126	 0.233	 8.22	 3.62	12.43	  3063
FSR_0123         	287.911	+12.037	 126	 -1.211	 -4.162	 0.175	 9.01	 2.74	12.98	  3952
FSR_0133         	292.448	+15.561	 275	 -2.370	 -4.576	 0.099	     	     	     	
FSR_0154         	297.009	+23.353	  90	 -1.601	 -4.133	 0.211	 8.68	 3.52	12.78	  3594
FSR_0158         	296.990	+26.040	  14	 -2.748	 -5.432	 0.139	 7.01	 4.39	13.94	  6131
FSR_0165         	299.546	+26.761	  60	 -2.782	 -5.558	 0.376	 7.19	 2.79	11.93	  2429
FSR_0166         	303.385	+25.430	  43	 -4.191	 -6.659	 0.331	 9.45	 2.24	12.24	  2800
FSR_0167         	301.218	+27.057	  19	  0.102	 -1.830	 0.533	 8.89	 2.52	11.24	  1773
FSR_0172         	300.004	+29.215	  39	 -2.540	 -5.959	 0.307	 8.20	 4.10	12.64	  3372
FSR_0195         	304.229	+33.637	  51	 -2.828	 -4.397	 0.267	     	     	     	
FSR_0198         	300.614	+35.681	  82	 -3.560	 -6.611	 0.486	 6.67	 2.49	11.69	  2181
FSR_0238         	308.693	+41.417	  29	 -2.902	 -4.547	 0.596	 7.87	 4.70	10.92	  1526
FSR_0241         	300.763	+46.196	  46	 -1.427	 -3.575	 0.450	 9.12	 1.03	11.53	  2020
FSR_0275         	314.171	+46.902	  87	 -2.831	 -4.825	 0.223	 8.93	 2.41	13.02	  4014
FSR_0278         	307.761	+51.021	  58	 -4.615	 -9.738	 0.554	 9.34	 0.85	11.16	  1708
FSR_0282         	315.572	+48.096	  65	 -3.640	 -4.670	 0.243	 8.54	 3.61	13.08	  4137
FSR_0284         	314.141	+49.362	  17	 -2.503	 -3.504	 0.312	 7.88	 2.74	12.53	  3203
FSR_0296         	320.976	+49.925	  37	 -4.093	 -5.120	 0.276	 8.50	 2.35	12.60	  3315
FSR_0306         	322.129	+51.690	  67	 -2.140	 -2.536	 0.349	 8.71	 2.79	12.14	  2681
FSR_0336         	327.711	+55.243	 137	 -3.066	 -2.855	 0.369	 7.68	 2.74	12.13	  2661
FSR_0342         	331.931	+53.104	 202	 -1.346	 -1.837	 0.343	 9.18	 0.87	12.20	  2751
FSR_0344         	330.440	+54.815	   9	 -1.792	 -1.591	 0.196	 9.54	 3.04	13.22	  4400
FSR_0357         	337.723	+53.951	  45	 -3.125	 -2.281	 0.219	 8.08	 1.22	13.18	  4334
FSR_0384         	342.911	+56.109	  47	 -3.552	 -1.711	 0.468	 8.63	 1.01	11.42	  1920
FSR_0385         	340.628	+58.941	  58	 -5.939	 -3.974	 0.436	 8.85	 2.19	11.68	  2165
FSR_0398         	339.135	+64.153	  55	 -3.218	 -1.109	 1.043	 7.26	 2.01	 9.81	   917
FSR_0401         	345.245	+59.698	  12	 -3.837	 -2.652	 0.230	 8.43	 3.22	12.96	  3908
FSR_0430         	348.835	+64.162	  31	 -1.878	 -0.704	 0.376	 7.91	 2.44	12.10	  2636
FSR_0442         	352.489	+63.447	 218	  1.287	 -2.554	 0.664	 8.87	 2.44	11.17	  1712
FSR_0448         	356.818	+60.902	  34	 -2.490	 -2.035	 0.315	 8.59	 2.83	12.54	  3217
FSR_0451         	357.955	+60.916	 164	 -3.216	 -1.907	 0.320	 7.13	 1.99	12.56	  3252
FSR_0465         	357.750	+66.186	  22	 -2.583	 -0.109	 0.163	 9.77	 2.33	14.19	  6873
FSR_0494         	006.416	+63.754	  37	 -2.503	 -0.844	 0.225	 8.95	 2.20	13.05	  4073
FSR_0496         	006.656	+64.010	 109	  2.231	 -0.621	 0.653	 9.31	 1.94	10.77	  1423
FSR_0498         	007.317	+62.389	  43	 -3.290	 -0.681	 0.336	 7.73	 1.14	12.14	  2674
FSR_0524         	014.340	+62.125	   8	 -1.547	 -0.246	 0.226	     	     	     	
FSR_0534         	019.349	+61.273	  53	 -0.425	 -0.281	 0.335	 7.41	 2.05	12.27	  2842
FSR_0536         	019.919	+63.026	  23	 -1.619	 -0.025	 0.288	 8.06	 3.98	12.53	  3203
FSR_0537         	019.698	+60.358	  46	 -1.079	 -0.821	 0.255	 7.90	 1.45	12.65	  3391
FSR_0542         	021.485	+63.011	  16	 -2.187	 -0.203	 0.271	 8.93	 3.24	12.87	  3756
FSR_0551         	024.938	+64.878	  44	  0.112	 -1.422	 1.063	 7.13	 1.06	 9.95	   976
FSR_0553         	025.226	+64.521	  39	 -3.243	  0.086	 0.306	 9.53	 1.12	12.37	  2974
FSR_0558         	030.191	+67.799	  50	 -1.024	  0.794	 0.314	 8.73	 2.52	12.32	  2911
FSR_0667         	061.766	+51.141	  32	  0.901	 -3.870	 0.844	 8.85	 1.12	10.36	  1182
FSR_0683         	077.168	+53.213	  20	 -0.134	 -0.812	 0.289	 7.78	 1.70	12.33	  2926
FSR_0686         	066.353	+46.098	  12	 -1.088	 -2.556	 1.087	     	     	     	
FSR_0716         	077.786	+45.718	  80	 -0.265	 -1.628	 0.252	 8.94	 0.86	12.77	  3575
FSR_0728         	067.458	+38.496	  55	  1.991	 -2.224	 0.543	 8.21	 1.76	11.37	  1876
FSR_0735         	073.471	+40.859	  52	  0.512	 -2.068	 0.316	 8.66	 1.13	12.28	  2856
FSR_0771         	075.919	+32.157	  40	  1.631	 -4.203	 0.618	 8.45	 1.64	10.92	  1529
FSR_0811         	094.105	+36.377	  43	  0.948	 -2.064	 0.325	 8.61	 0.88	12.45	  3094
FSR_0826         	085.765	+28.989	  22	 -0.535	 -1.585	 0.281	 6.66	 2.78	13.41	  4812
FSR_0833         	091.320	+30.827	  24	 -0.036	 -0.807	 0.186	 7.22	 1.36	13.42	  4836
FSR_0850         	086.257	+24.740	 118	  1.301	 -2.555	 0.438	 8.67	 1.29	11.74	  2232
FSR_0852         	088.363	+25.190	  22	  0.433	 -1.923	 0.321	 8.03	 1.70	12.60	  3307
FSR_0866         	103.823	+29.745	  35	  1.405	 -0.443	 0.812	 9.33	 0.29	10.49	  1250
FSR_0883         	091.094	+22.037	  27	  0.825	 -1.542	 0.299	 8.15	 1.80	12.41	  3030
FSR_0893         	093.454	+21.608	 133	 -0.355	 -3.215	 0.396	 8.75	 2.20	11.84	  2328
FSR_0904         	091.774	+19.021	  93	 -0.448	 -1.107	 0.446	 7.34	 1.86	11.82	  2311
FSR_0905         	098.442	+22.312	  30	  1.965	 -3.850	 0.649	 8.59	 0.50	10.77	  1424
FSR_0921         	091.295	+16.684	  32	 -0.006	 -1.652	 0.327	 8.59	 3.22	12.57	  3260
FSR_0923         	092.644	+16.971	  48	  0.657	  0.141	 0.587	 8.99	 1.84	11.11	  1667
FSR_0932         	091.087	+14.573	  52	 -0.360	 -0.789	 0.402	 8.07	 2.82	11.85	  2340
FSR_0935         	098.778	+17.740	  40	 -0.074	 -1.056	 0.377	 8.53	 1.15	12.06	  2577
FSR_0937         	093.425	+15.006	  10	  0.500	 -0.114	 0.085	 9.08	 1.59	14.43	  7693
FSR_0941         	095.445	+15.776	  56	  0.758	  0.139	 0.198	 8.67	 2.23	13.20	  4359
FSR_0942         	091.487	+13.667	 136	 -0.412	  0.092	 0.277	 8.86	 1.73	12.66	  3409
FSR_0948         	096.480	+15.859	  35	 -0.132	  0.051	 0.200	 8.73	 1.24	13.06	  4098
FSR_0951         	095.573	+14.650	 169	  0.242	  0.070	 0.553	 8.72	 0.81	11.22	  1757
FSR_0953         	094.762	+14.150	  79	 -0.134	 -2.877	 0.331	 8.81	 1.48	12.05	  2567
FSR_0968         	092.843	+11.863	  29	 -0.356	 -1.158	 0.382	 7.92	 1.04	12.13	  2662
FSR_0974         	098.156	+12.553	  48	 -0.463	 -0.345	 0.265	 7.95	 1.55	12.95	  3893
FSR_0975         	100.010	+13.310	   7	  0.166	 -0.817	 0.173	     	     	     	
FSR_0977         	097.974	+11.865	  16	  0.721	 -1.533	 0.453	 8.93	 1.00	11.70	  2185
FSR_0979         	097.814	+11.081	  60	  0.225	 -2.498	 0.315	 8.75	 2.25	12.36	  2969
FSR_0985         	092.953	+07.020	  47	 -0.433	 -0.904	 0.462	 8.41	 1.18	11.65	  2139
FSR_1025         	102.620	+06.612	  10	  0.202	 -0.360	 0.120	 8.75	 0.70	13.94	  6136
FSR_1032         	099.072	+04.011	  21	 -1.372	 -3.174	 0.456	     	     	     	
FSR_1051         	103.046	+03.662	  26	 -0.761	 -2.639	 0.399	 8.41	 1.44	11.97	  2479
FSR_1063         	098.654	-00.265	  34	  0.057	 -1.541	 0.393	 8.04	 1.77	11.88	  2379
